[2026-05-27T11:03:12.149Z] GET http://localhost:8080/ → 200 (9ms, 611B)
[2026-05-27T11:03:12.170Z] GET http://localhost:8080/@vite/client → 200 (17ms, 137703B)
[2026-05-27T11:03:12.171Z] GET http://localhost:8080/src/main.ts → 200 (14ms, 2526B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/node_modules/.vite/deps/phaser.js?v=fa12a462 → 200 (125ms, ?B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/src/config/constants.ts → 200 (91ms, 1620B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/src/scenes/BootScene.ts → 200 (94ms, 1220B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/src/scenes/MenuScene.ts → 200 (97ms, 10283B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/src/scenes/GameScene.ts → 200 (112ms, 35899B)
[2026-05-27T11:03:12.186Z] GET http://localhost:8080/src/scenes/ResultScene.ts → 200 (113ms, 7355B)
[2026-05-27T11:03:12.187Z] GET http://localhost:8080/node_modules/vite/dist/client/env.mjs → 200 (96ms, 4021B)
[2026-05-27T11:03:12.298Z] GET http://localhost:8080/src/config/levels.ts → 200 (4ms, 12497B)
[2026-05-27T11:03:12.301Z] GET http://localhost:8080/src/config/plants.ts → 200 (4ms, 3520B)
[2026-05-27T11:03:12.302Z] GET http://localhost:8080/src/game/Grid.ts → 200 (3ms, 7679B)
[2026-05-27T11:03:12.302Z] GET http://localhost:8080/src/game/Plant.ts → 200 (4ms, 10718B)
[2026-05-27T11:03:12.302Z] GET http://localhost:8080/src/game/WaveManager.ts → 200 (4ms, 9233B)
[2026-05-27T11:03:12.302Z] GET http://localhost:8080/src/game/SunSystem.ts → 200 (5ms, 9981B)
[2026-05-27T11:03:12.307Z] GET http://localhost:8080/src/game/Bullet.ts → 200 (1ms, 2081B)
[2026-05-27T11:03:12.307Z] GET http://localhost:8080/src/config/enemies.ts → 200 (1ms, 3330B)
[2026-05-27T11:03:12.307Z] GET http://localhost:8080/src/game/Enemy.ts → 200 (1ms, 11374B)
[2026-05-27T11:04:31.038Z] GET http://localhost:8080/ → 200 (6ms, 627B)
[2026-05-27T11:04:31.048Z] GET http://localhost:8080/@vite/client → 200 (5ms, 137703B)
[2026-05-27T11:04:31.048Z] GET http://localhost:8080/src/main.ts?t=1779879870950 → 200 (3ms, 2670B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/node_modules/.vite/deps/phaser.js?v=fa12a462 → 200 (72ms, 6681077B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/src/config/constants.ts → 200 (33ms, 1620B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/src/scenes/BootScene.ts → 200 (36ms, 1220B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/src/scenes/MenuScene.ts → 200 (31ms, 10283B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/src/scenes/GameScene.ts → 200 (38ms, 35899B)
[2026-05-27T11:04:31.052Z] GET http://localhost:8080/src/scenes/ResultScene.ts → 200 (40ms, 7355B)
[2026-05-27T11:04:31.053Z] GET http://localhost:8080/node_modules/vite/dist/client/env.mjs → 200 (34ms, 4021B)
[2026-05-27T11:04:31.085Z] GET http://localhost:8080/src/config/levels.ts → 200 (5ms, 12497B)
[2026-05-27T11:04:31.090Z] GET http://localhost:8080/src/config/plants.ts → 200 (5ms, 3520B)
[2026-05-27T11:04:31.090Z] GET http://localhost:8080/src/game/Grid.ts → 200 (7ms, 7679B)
[2026-05-27T11:04:31.092Z] GET http://localhost:8080/src/game/Plant.ts → 200 (20ms, 10718B)
[2026-05-27T11:04:31.092Z] GET http://localhost:8080/src/game/WaveManager.ts → 200 (23ms, 9233B)
[2026-05-27T11:04:31.092Z] GET http://localhost:8080/src/game/SunSystem.ts → 200 (23ms, 9981B)
[2026-05-27T11:04:31.113Z] GET http://localhost:8080/src/game/Bullet.ts → 200 (3ms, 2081B)
[2026-05-27T11:04:31.116Z] GET http://localhost:8080/src/config/enemies.ts → 200 (?ms, 3330B)
[2026-05-27T11:04:31.116Z] GET http://localhost:8080/src/game/Enemy.ts → 200 (?ms, 11374B)
[2026-05-27T11:04:35.115Z] GET http://localhost:8080/ → 200 (3ms, 627B)
[2026-05-27T11:04:35.123Z] GET http://localhost:8080/@vite/client → 304 (3ms, ?B)
[2026-05-27T11:04:35.123Z] GET http://localhost:8080/src/main.ts?t=1779879870950 → 304 (3ms, ?B)
